Filename,Line Number,Extracted Text,Formatted Bilingual Text
adv_cidol-amao-3-000_01.txt,6,麻央先輩、相談に乗ってくださって\nありがとうございました！,<r\=麻央先輩、相談に乗ってくださって>麻央前辈，</r>\r\n<r\=ありがとうございました！>谢谢您愿意和我商量！</r>
adv_cidol-amao-3-000_01.txt,13,なに、先輩として\n当然のことをしたまでさ。,<r\=なに、先輩として>没什么，作为前辈</r>\r\n<r\=当然のことをしたまでさ。>我只是做了分内之事而已。</r>
adv_cidol-amao-3-002_01.txt,36,それで、新たなファンの方々も\n増えてきたところで、,<r\=それで、新たなファンの方々も>于是，在新增的粉丝们也</r>\r\n<r\=増えてきたところで、>逐渐增加的时候，</r>
adv_cidol-amao-3-002_01.txt,83,最高にカッコいいボクを\n見せてあげますよ。,<r\=最高にカッコいいボクを>让你见识一下最帅气的我</r>\r\n<r\=見せてあげますよ。>展示给你看。</r>
adv_cidol-amao-3-002_02.txt,45,……ああ、木の上に\n引っかかってしまったんだね。,<r\=……ああ、木の上に>……啊，原来是</r>\r\n<r\=引っかかってしまったんだね。>卡在树上了啊。</r>
adv_cidol-amao-3-002_03.txt,30,えー。なんでも頼んでいいって\n言ったのに……,<r\=えー。なんでも頼んでいいって>哎～。明明说了什么都</r>\r\n<r\=言ったのに……>可以点的……</r>
adv_cidol-amao-3-002_03.txt,61,アンケートって、なんだか\n緊張しますよね。ええっと……,<r\=アンケートって、なんだか>做问卷调查啊，总让人有点</r>\r\n<r\=緊張しますよね。ええっと……>紧张呢。那个……</r>
adv_cidol-amao-3-002_03.txt,69,麻央ちゃん、ライブ、\nとーってもよかったです！,<r\=麻央ちゃん、ライブ、>麻央的演唱会，</r>\r\n<r\=とーってもよかったです！>真的超级棒啊！</r>
adv_cidol-amao-3-007_02.txt,24,それはもう、\n憧れの楽曲ですからね。,<r\=それはもう、>那可是，</r>\r\n<r\=憧れの楽曲ですからね。>我憧憬已久的乐曲啊。</r>
adv_cidol-amao-3-007_02.txt,81,レッスンパートナーを\n付けましょう。,<r\=レッスンパートナーを>课程伙伴，去寻找吧。</r>
adv_cidol-amao-3-007_02.txt,94,経験者って――\nもしかして、星南会長？,<r\=経験者って――>有经验的人是指……</r>\r\n<r\=もしかして、星南会長？>难道说，是星南会长？</r>
adv_cidol-amao-3-007_03.txt,39,憧れの『Campus mode!!』を\n歌えるなんて――,<r\=憧れの『Campus mode!!』を>能够演唱憧憬已久的《Campus mode!!》，</r>\r\n<r\=歌えるなんて――>真的是——</r>
adv_cidol-amao-3-007_03.txt,108,『Campus mode!!』は、\n先輩たちの想いを\n受け継いできた楽曲だから、,<r\=『Campus mode!!』は、>『Campus mode!!』是一首</r>\r\n<r\=先輩たちの想いを>传承了前辈们的心意</r>\r\n<r\=受け継いできた楽曲だから、>的乐曲，</r>
adv_cidol-amao-3-007_03.txt,121,今日のステージに足を運んで\nくれたファンの中にも、,<r\=今日のステージに足を運んで>今天专程来到舞台现场的，</r>\r\n<r\=くれたファンの中にも、>粉丝们中也有</r>
adv_cidol-amao-3-009_02.txt,37,すぐに繕えるように\nしておかなければなりませんから。,<r\=すぐに繕えるように>必须提前做好准备</r>\r\n<r\=しておかなければなりませんから。>以便能够立即修补。</r>
adv_cidol-amao-3-009_02.txt,109,そうですね。最適な配置の\nバランスを考えるのは、,<r\=そうですね。最適な配置の>是啊，考虑最佳</r>\r\n<r\=バランスを考えるのは、>配置的平衡，</r>
adv_cidol-fktn-3-000_02.txt,164,納得できない？　じゃあ、\nもう少し言わせてもらうけど。,<r\=納得できない？　じゃあ、>无法接受吗？好吧，</r>\r\n<r\=もう少し言わせてもらうけど。>让我再说几句。</r>
adv_cidol-fktn-3-000_03.txt,46,幾つかのハードルを\n越える必要があるのですが。,<r\=幾つかのハードルを>需要跨越几个</r>\r\n<r\=越える必要があるのですが。>障碍。</r>
adv_cidol-fktn-3-000_03.txt,53,このために学園に入った\nまでありますよあたし！,<r\=このために学園に入った>为此我才进入</r>\r\n<r\=までありますよあたし！>这所学院的呢！</r>
adv_cidol-fktn-3-001_01.txt,79,申し訳ない気持ちに\nなったりしてたんです。説明おわり。,<r\=申し訳ない気持ちに>感到抱歉的心情</r>\r\n<r\=なったりしてたんです。説明おわり。>之类的。说明结束。</r>
adv_cidol-fktn-3-007_01.txt,14,プロデューサーからの\n熱烈なアプローチっ――,<r\=プロデューサーからの>制作人发起的</r>\r\n<r\=熱烈なアプローチっ――>热烈追求啊――</r>
adv_cidol-fktn-3-007_01.txt,22,お～、自らハードルを\n上げましたね……？,<r\=お～、自らハードルを>哦～，你自己把门槛</r>\r\n<r\=上げましたね……？>提高了呢……？</r>
adv_cidol-fktn-3-007_01.txt,35,ウワーッ！　\nこ、これッ――もしかして！,<r\=ウワーッ！　>哇啊！</r>\r\n<r\=こ、これッ――もしかして！>这、这是——难道说！</r>
adv_cidol-hrnm-3-000_01.txt,135,そうです。なので、もっとイメージの\n解像度を上げるために、,<r\=そうです。なので、もっとイメージの>是的。因此，为了进一步提高</r>\r\n<r\=解像度を上げるために、>意象的解析度，</r>
adv_cidol-hrnm-3-000_01.txt,141,ざっとでいいので、素直な気持ちを、\nノートに書いてみてください。,<r\=ざっとでいいので、素直な気持ちを、>请大致地、坦率地写下你的心情，</r>\r\n<r\=ノートに書いてみてください。>试着写在笔记本上吧。</r>
adv_cidol-hrnm-3-000_01.txt,153,それは、はい。\nプロデューサーですので。,<r\=それは、はい。>是的。</r>\r\n<r\=プロデューサーですので。>因为是制作人。</r>
adv_cidol-hrnm-3-002_03.txt,19,んん～っ、歌うのって、\nやっぱり楽しいっ♪,<r\=んん～っ、歌うのって、>嗯～，唱歌果然还是……</r>\r\n<r\=やっぱり楽しいっ♪>很开心呢♪</r>
adv_cidol-hrnm-3-002_03.txt,23,姫崎さんは、本当に\n楽しそうに歌いますね。,<r\=姫崎さんは、本当に>姬崎小姐，你真的</r>\r\n<r\=楽しそうに歌いますね。>唱得很开心呢。</r>
adv_cidol-hrnm-3-002_03.txt,28,もともと、私がアイドルになろうって\n思ったきっかけは――,<r\=もともと、私がアイドルになろうって>原本，我之所以想成为偶像</r>\r\n<r\=思ったきっかけは――>的契机是——</r>
adv_cidol-hrnm-3-002_03.txt,32,小さい頃に観た、\nお歌のお姉さんだからね。,<r\=小さい頃に観た、>因为是我小时候看过的</r>\r\n<r\=お歌のお姉さんだからね。>唱歌的大姐姐嘛。</r>
