filename,line_number,orig_segments,trans_segments,name,orig_text,trans_text,trans_fixed,trans_orig
adv_cidol-amao-3-000_01.txt,6,2,1,女子生徒,麻央先輩、相談に乗ってくださって\nありがとうございました！,麻央学姐，谢谢你愿意听我商量！,麻央学姐，谢谢你\n愿意听我商量！,<r\=麻央先輩、相談に乗ってくださって>麻央学姐，谢谢你愿意听我商量！</r>\r\n
adv_cidol-amao-3-000_01.txt,13,2,1,麻央,なに、先輩として\n当然のことをしたまでさ。,没什么，这只是作为学姐应尽的责任。,没什么，这只是作为学姐\n应尽的责任。,<r\=なに、先輩として>没什么，这只是作为学姐应尽的责任。</r>\r\n
adv_cidol-amao-3-000_01.txt,86,2,1,{user},この楽曲は、\n可愛くて、カッコイイ――,这首曲子既可爱又帅气——,这首曲子，\n既可爱又帅气——,<r\=この楽曲は、>这首曲子既可爱又帅气——</r>\r\n
adv_cidol-amao-3-001_01.txt,162,2,1,麻央,プロデューサーは、\nなにか思いつきますか？,制作人有什么好主意吗？,制作人你，\n有什么好主意吗？,<r\=プロデューサーは、>制作人有什么好主意吗？</r>\r\n
adv_cidol-amao-3-001_02.txt,193,2,1,麻央,いっそのこと、\n全部のせにしようかなって。,干脆全都实现好了。,干脆全都，\n实现好了吧。,<r\=いっそのこと、>干脆全都实现好了。</r>\r\n
adv_cidol-amao-3-002_01.txt,36,2,1,{user},それで、新たなファンの方々も\n増えてきたところで、,随着新粉丝不断增加，,这样，随着新的粉丝们也\n开始逐渐增加，,<r\=それで、新たなファンの方々も>随着新粉丝不断增加，</r>\r\n
adv_cidol-amao-3-002_01.txt,83,2,1,麻央,最高にカッコいいボクを\n見せてあげますよ。,最帅气的一面给大家看。,将我最帅气的一面\n展现给大家看。,<r\=最高にカッコいいボクを>最帅气的一面给大家看。</r>\r\n
adv_cidol-amao-3-002_01.txt,88,2,1,{user},はい。本来の可憐さを十分に\n表現できるようになったからこそ、,好的。,是的。正因为现在能够充分展现出\n原本的可爱娇嫩，,<r\=はい。>好的。</r>本来の可憐さを十分に\n表現できるようになったからこそ、
adv_cidol-amao-3-002_02.txt,45,2,1,麻央,……ああ、木の上に\n引っかかってしまったんだね。,...啊，挂到树上了是吧。,...哦哦，\n挂到树上了是吧。,<r\=……ああ、木の上に>...啊，挂到树上了是吧。</r>\r\n
adv_cidol-amao-3-002_02.txt,276,2,1,麻央,……ん、わかった。\nそれじゃ、お願いするよ。,...嗯，知道了。,……嗯，明白了。\n那就拜托你了。,<r\=……ん、わかった。>...嗯，知道了。</r>\nそれじゃ、お願いするよ。
adv_cidol-amao-3-002_03.txt,30,2,1,麻央,えー。なんでも頼んでいいって\n言ったのに……,诶～明明说什么都可以点的...,诶～明明就说过\n什么都可以点的...,<r\=えー。なんでも頼んでいいって>诶～明明说什么都可以点的...</r>\r\n
