id,name,text,trans
0000000000000,リーリヤ,センパイ……！\nや、やりました……！,前辈……！\n我、我做到了……！
0000000000000,{user},合格おめでとうございます。\n素晴らしいパフォーマンスでした。,恭喜通过选拔。\n刚才的表演非常精彩。
0000000000000,リーリヤ,なんだか……いつもの自分以上の\n力を発揮したような気がします……。,感觉今天……\n似乎发挥出了超越平时的实力呢……
0000000000000,リーリヤ,きっと……ファンのみんなが、\n応援してくれたおかげです。,这一定是……\n因为粉丝们都在为我应援的缘故。
0000000000000,リーリヤ,……もちろん、センパイも。,……当然，也包括前辈的功劳。
0000000000000,{user},葛城さんは、ファンの応援を、\n自分の力に変えられるんですね。,葛城同学很擅长\n把粉丝的应援转化为自己的力量呢。
0000000000000,リーリヤ,……はい。今日は特に、\nみんなに力をもらった気がします。,……是的。今天特别能感受到\n大家给我的力量。
0000000000000,{user},でも、喜んでばかりでは\nいられませんよ？,但是可不能\n只顾着高兴哦？
0000000000000,{user},オーディションに合格した以上、\n次はライブなんですから。,既然通过了选拔，\n接下来就要准备演唱会了。
0000000000000,リーリヤ,そ、そうですよね……。\n本番……緊張してきました……。,说、说得对……\n正式演出……我开始紧张了……
0000000000000,{user},特別公開オーディションでも\n力を発揮できたんですから、大丈夫。,在特别公开选拔时\n都能发挥实力，没问题的。
0000000000000,{user},ファンの応援に力をもらった分、\nその感謝を伝えてあげてください。,请把从粉丝应援中获得的力量，\n转化成对他们的感谢传达出去吧。
0000000000000,リーリヤ,……感謝、を……,……表达感谢……
0000000000000,{user},葛城さんを応援してくれた人たちが、\n葛城さんを待っています。,那些支持葛城同学的人，\n现在都正期待着你呢。
0000000000000,リーリヤ,……はい！,……明白！
0000000000000,リーリヤ,今のわたしにできる、最高の\nパフォーマンスを、みんなに……！,我要把现在能做到的、\n最棒的表演献给大家……！
0000000000000,{user},はい。それがファンに対する、\n最大の恩返しですから。,嗯。这才是对粉丝们\n最好的回报。
0000000000000,リーリヤ,頑張ります……！\n葛城リーリヤ、行きます！,我会加油的……！\n葛城莉莉娅，出发！
info,adv_dear_kllj_016.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
