id,name,text,trans
0000000000000,あさり先生,アイドルが取り組むトレーニングにも、\n様々な科学的裏付けがあります。,偶像们进行的训练项目\n都有着各种科学依据哦。
0000000000000,あさり先生,身体を作るために、\n科学の知識はとても有用ですよ。,为了塑造良好体态\n科学知识可是非常实用的呢。
0000000000000,あさり先生,科学技術の発展で、有害だったことが\n判明したトレーニングもあります。,随着科技进步，有些训练方式\n已被证实会对身体造成伤害。
0000000000000,あさり先生,さて、今は行われていないその\nトレーニング、なにかわかりますか？,那么，现在已经被淘汰的\n那种训练方式，你们知道是什么吗？
select,,うさぎ跳び,蛙跳
select,,毎日筋トレ,每天力量训练
select,,運動中に水を飲む,运动时喝水
0000000000000,あさり先生,正解です！　腰を落とし、\nうさぎのように跳ぶあれですね。,答对了！就是那个蹲下身子\n像青蛙一样跳跃的动作呢。
0000000000000,あさり先生,トレーニングの意味がないどころか、\n故障する可能性も高いんです。,不仅训练效果存疑\n还很容易造成运动损伤。
0000000000000,あさり先生,この定説が広まってから、うさぎ跳びが\n原因と思われる故障は姿を消しました。,自从这个理论普及后\n由蛙跳引发的伤病案例就消失了。
0000000000000,あさり先生,先生も経験はありませんけど、\nきつそうですよねぇ、あれ……,老师虽然没亲身体验过\n但那个动作看起来就很辛苦呢……
0000000000000,あさり先生,正確には、毎日「同じ部位」の\nトレーニングは効果が薄れる、ですね。,准确来说，每天锻炼“相同部位”\n会导致训练效果递减哦。
0000000000000,あさり先生,筋力トレは、鍛えた部分の回復を\n待ってから行うようにしましょう。,肌肉训练要等锻炼部位\n充分恢复后再进行。
0000000000000,あさり先生,毎日する場合は、日によって\n部位を変えるのがオススメですね。,建议每天轮流锻炼\n不同部位比较好。
0000000000000,あさり先生,今回は明らかな間違いである\nうさぎ跳びが正解です。,这次正确答案是明显错误的\n蛙跳动作。
0000000000000,あさり先生,うさぎ跳びがなぜ間違いか……\n調べてみてくださいね。,至于为什么蛙跳是错误的……\n请大家自己去查资料吧。
0000000000000,あさり先生,それは科学の発展で\n正しかったとわかったものです。,这个是随着科学发展\n被证实正确的做法。
0000000000000,あさり先生,昔は運動中に水を飲むのが\n禁止されることがありました。,以前有些训练会禁止\n运动过程中喝水。
0000000000000,あさり先生,バテてしまうから、というのが\n理由とされていましたが……,理由是喝水会导致\n体力下降之类的……
0000000000000,あさり先生,運動中の水分補給が大事なことは、\n今では常識ですよね。,现在大家都知道运动时\n补充水分很重要了吧。
0000000000000,あさり先生,ちなみに正解はうさぎ跳びでした。\nなぜかは調べてみてください♪,正确答案其实是蛙跳哦\n具体原因请自行查证♪
info,adv_pevent_001_hume_school_007.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
