id,name,text,trans
0000000000000,{user},今日は動画サイトの、\nゲーム番組の撮影です。,今天是视频网站\n游戏节目的拍摄日。
0000000000000,ことね,はいっ、どのゲームをしたいかって\n聞かれたんですケド……,那个……问我想玩什么游戏来着\n虽然被他们问到了……
0000000000000,ことね,まだ迷ってるんですよねぇ～。\nなにがいいと思います？,但我还在犹豫呢～\n你觉得玩什么比较好？
select,,メダルゲーム,代币游戏
select,,クレーンゲーム,抓娃娃机
select,,ダンスゲーム,舞蹈游戏
0000000000000,ことね,じゃらじゃら増えてくメダルが、\nお金だったらと思うと……燃えますね！,看着哗啦啦增加的代币\n要是换成钱的话……想想就超兴奋呢！
0000000000000,{user},動画の再生数、ここまで伸びるとは……,视频播放量居然能涨这么多……
0000000000000,ことね,可愛いぬいぐるみとか、\n取れたらテンションあがりそうですね！,如果能抓到可爱的毛绒玩具\n肯定会超开心的！
0000000000000,{user},動画の再生数、ここまで伸びるとは……,视频播放量居然能涨这么多……
0000000000000,ことね,ダンスは得意だし、アリですねっ！\nハイスコア、出せちゃったりして～♪,跳舞可是我的强项，这个不错！\n说不定能刷新最高分呢～♪
0000000000000,{user},動画の再生数、ここまで伸びるとは……,视频播放量居然能涨这么多……
info,adv_pevent_002_fktn_sales_4-005-02.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
