id,name,text,trans
0000000000000,千奈,先生、わたくしのプロデュース、\nいつもありがとうございます。,制作人先生，我的企划工作，\n一直以来真的非常感谢您。
0000000000000,{user},こちらこそ……じゃなくて、\n急にどうしたんですか？,我才该说谢谢……不对，\n怎么突然说这个？
0000000000000,千奈,なにかお礼をと考えに考え……\n思い至ったのです！,我一直在想要如何表达谢意……\n最后想到了！
0000000000000,千奈,肩たたきなど、いかがかと！,不如让我帮您捶捶肩吧！
select,,お願いします,拜托了
select,,気が引けますね,这怎么好意思
select,,もっと後で\nいただきます,晚点再\n麻烦你
0000000000000,千奈,よろしいのですかっ！？,真的可以吗！？
0000000000000,{user},せっかくのご厚意ですし、\nよりよいプロデュースでお返しします。,难得你这么有心，\n我会用更好的培育来回报你的。
0000000000000,千奈,ありがとうございますっ！\nそれでは……,非常感谢！\n那么现在开始……
0000000000000,{user},えっ。\nここでですか？,诶。\n在这里吗？
0000000000000,千奈,もちろんですっ！\nさあ、お背中をどうぞ！,当然！\n来，请转过身去！
0000000000000,千奈,ど、どうしてですかっ！？,为、为什么拒绝呢！？
0000000000000,{user},頑張っているのは倉本さんですから。\nもらいっぱなしというのも。,因为仓本小姐才是努力的人。\n单方面接受好意也说不过去。
0000000000000,千奈,お気になさらずっ！,请别在意！
0000000000000,千奈,わたくしがして差し上げたいのです。\nお受け取りください！,是我想为您服务的。\n请务必接受！
0000000000000,千奈,……それはいつですか？,……那要等到什么时候呢？
0000000000000,{user},倉本さんが試験に合格したらです。\nお礼というなら、そのときに。,等仓本小姐通过考试的时候吧。\n要道谢的话，那时再。
0000000000000,{user},それまで、倉本さんには\n前を見続けてほしいんです。,在那之前，希望仓本小姐\n能一直勇往直前。
0000000000000,千奈,先生……！,制作人先生……！
0000000000000,千奈,では見事合格し……その暁には\n精一杯お叩きいたしますわっ！,等我顺利通过考试……\n到时候一定为您好好按摩！
info,adv_pevent_001_kcna_activity_012.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
